ID,City,Name,Price_Intraday_,Change,% Change,Volume,AvgVol_3month_,MarketCap,PerRatio_TTM,PERatio_TTM_,
88,Pittsburgh,"Robinhood Markets, Inc.",9.32,0.28,0.031,10.718,10.129,10.129,7.788,23,
89,Corpus Christi,QuantumScape Corporation,8.3,0.69,0.0907,10.689,7.352,7.352,3.618,36,
90,Raleigh,Infosys Limited,18.52,0.12,0.0065,10.389,7.51,7.51,77.585,26.08,
91,Anaheim,AGNC Investment Corp.,11.3,0.02,0.0018,10.217,12.675,12.675,6.459,20,
92,Tampa,DraftKings Inc.,14.11,0.48,0.0352,10.134,16.45,16.45,6.333,19,
93,Aurora,"Mitsubishi UFJ Financial Group, Inc.",7.7,0.33,0.0448,10.052,4.032,4.032,99.046,22,
94,Santa Clara,Petróleo Brasileiro S.A. - Petrobras,9.63,-0.01,-0.001,9.856,15.373,15.373,65.642,1.85,
95,St. Paul,Regions Financial Corporation,22.43,0.07,0.0031,9.453,7.591,7.591,20.96,11.16,
96,Riverside,Roblox Corporation,33.21,0.03,0.0009,10.121,15.604,15.604,19.953,86,
97,Cincinnati,Kosmos Energy Ltd.,7.62,0.52,0.0732,9.58,5.35,5.35,3.474,7.4,
98,Lexington,"Block, Inc.",71.65,-0.15,-0.0021,9.277,12.605,12.605,42.852,10,
99,Anchorage,"Pinterest, Inc.",26.69,0.25,0.0095,8.061,12.813,12.813,18.102,296.56,
100,Stockton,The Charles Schwab Corporation,82.98,-0.5,-0.006,9.222,7.248,7.248,154.902,25.15,
